segment,model,variable,n,rmse,mae,directional_accuracy,corr,ar_rmse,rmse_skill_vs_ar
oos_all,ar,audusd,709,0.005845024471019508,0.004352404331195524,0.46685472496473907,0.02746630626021723,0.005845024471019508,0.0
oos_all,financial_sparse_var,audusd,709,0.005570842500870745,0.0042461985989863706,0.5430183356840621,0.30093089813050095,0.005845024471019508,0.04690860945205566
oos_all,full_sparse_var,audusd,709,0.005600123319276078,0.004264406643191328,0.5416078984485191,0.27993370808030105,0.005845024471019508,0.041899080655296794
oos_all,stability_filtered_full,audusd,709,0.005570361605277816,0.0042318362713297504,0.5500705218617772,0.303340487251485,0.005845024471019508,0.0469908838027131
oos_all,ar,brent,709,0.02695564694546299,0.018664250580697934,0.5148095909732017,0.01594849647659994,0.02695564694546299,0.0
oos_all,financial_sparse_var,brent,709,0.026482670533075094,0.018220421890979707,0.5472496473906912,0.09982554580800146,0.02695564694546299,0.01754646858763309
oos_all,full_sparse_var,brent,709,0.026476696885518777,0.018350709130756832,0.5204513399153737,0.1099941768513321,0.02695564694546299,0.01776807883384246
oos_all,stability_filtered_full,brent,709,0.0264736134670985,0.018286049481103902,0.5289139633286318,0.10975328267529813,0.02695564694546299,0.017882467422864923
oos_all,ar,brlusd,709,0.007030130734639268,0.0053463014192240916,0.4823695345557123,0.009165349145834894,0.007030130734639268,0.0
oos_all,financial_sparse_var,brlusd,709,0.007013512254170897,0.005336509152399033,0.4936530324400564,0.06904275475600888,0.007030130734639268,0.002363893517155602
oos_all,full_sparse_var,brlusd,709,0.007032449506799265,0.0053493059317568465,0.5260930888575458,0.06605623850699703,0.007030130734639268,-0.00032983343376136176
oos_all,stability_filtered_full,brlusd,709,0.0069976118138865544,0.005328191598220811,0.5246826516220028,0.0840269568802196,0.007030130734639268,0.004625649504992002
oos_all,ar,cnyusd,709,0.0017404711193367106,0.0011376481692518578,0.5007052186177715,0.02193475128065504,0.0017404711193367106,0.0
oos_all,financial_sparse_var,cnyusd,709,0.0017290996606106098,0.0011689954157308136,0.49647390691114246,0.12187978033584007,0.0017404711193367106,0.006533552093891948
oos_all,full_sparse_var,cnyusd,709,0.0017544855379168726,0.0011989956309595205,0.47531734837799716,0.06041537115503101,0.0017404711193367106,-0.008052083383895958
oos_all,stability_filtered_full,cnyusd,709,0.0017335944975343726,0.0011676841751459696,0.48801128349788436,0.09741906683786193,0.0017404711193367106,0.003951011726617271
oos_all,ar,eurusd,709,0.004240076093967153,0.003140702031643333,0.5035260930888575,0.000931279114705466,0.004240076093967153,0.0
oos_all,financial_sparse_var,eurusd,709,0.004209942845380921,0.0030975636300487144,0.5218617771509168,0.11128933593851284,0.004240076093967153,0.007106770708456445
oos_all,full_sparse_var,eurusd,709,0.00422879212487574,0.003101861665744594,0.5416078984485191,0.08635490818075768,0.004240076093967153,0.0026612657040443466
oos_all,stability_filtered_full,eurusd,709,0.004220130390611201,0.0031055947125545945,0.5401974612129761,0.09222681555715868,0.004240076093967153,0.004704090896937241
oos_all,ar,henry_hub,709,0.11333288487814941,0.055523306432859514,0.47390691114245415,0.029130567312563867,0.11333288487814941,0.0
oos_all,financial_sparse_var,henry_hub,709,0.11261715570084893,0.055046422267522495,0.4936530324400564,0.03173420175409366,0.11333288487814941,0.006315282436073155
oos_all,full_sparse_var,henry_hub,709,0.1136728472834135,0.056121356823096664,0.48660084626234135,-0.01406260551292819,0.11333288487814941,-0.0029996801513487714
oos_all,stability_filtered_full,henry_hub,709,0.1136050901316257,0.056501357476923815,0.46685472496473907,-0.008100820479127909,0.11333288487814941,-0.002401820563986856
oos_all,ar,krwusd,709,0.005914107278153434,0.004317129010985389,0.5133991537376587,0.08114453348354915,0.005914107278153434,0.0
oos_all,financial_sparse_var,krwusd,709,0.005776316896619975,0.00422692690615251,0.5613540197461213,0.23068780908185071,0.005914107278153434,0.023298593524411215
oos_all,full_sparse_var,krwusd,709,0.005779372371177151,0.004234535443039629,0.5500705218617772,0.22883392087490095,0.005914107278153434,0.022781951804288436
oos_all,stability_filtered_full,krwusd,709,0.005759302964477572,0.0042102334249870515,0.5557122708039492,0.2406596926941928,0.005914107278153434,0.026175432131186782
oos_all,ar,sp500,709,0.009453792059832876,0.0065240937430380945,0.5133991537376587,0.06104049895267094,0.009453792059832876,0.0
oos_all,financial_sparse_var,sp500,709,0.009495596996625515,0.006548837135597169,0.5430183356840621,0.028078985550740242,0.009453792059832876,-0.004422028380575371
