source,target,selection_frequency,mean_strength,latest_strength,sign_stability
wti,brent,1.0,0.3730637339019304,0.26060941977929014,1.0
pw_panama_canal_n_total_z,henry_hub,1.0,0.25312489386465176,0.10196593665525837,1.0
pw_suez_canal_capacity_z,pw_bab_el_mandeb_strait_capacity_z,1.0,0.2281768729188523,0.24501955433001452,1.0
sp500,krwusd,1.0,0.2126143408252923,0.1890430067229449,1.0
sp500,audusd,1.0,0.20408770521388997,0.21038302900561376,1.0
eurusd,krwusd,1.0,0.1696523968790581,0.12934015757587106,1.0
sp500,eurusd,1.0,0.15149394857846898,0.137809798990833,1.0
us2y,krwusd,1.0,0.14948304986895544,0.10900672667692034,1.0
pw_malacca_strait_n_total_z,pw_malacca_strait_capacity_z,1.0,0.10913554014534718,0.08521128742838008,1.0
us2y,cnyusd,1.0,0.10562719567811257,0.0976434201011425,1.0
sp500,cnyusd,1.0,0.10308754598995423,0.09438841823182947,1.0
eurusd,sp500,1.0,0.08681385987820134,0.0808180252274675,1.0
us2y,eurusd,1.0,0.08049189192397253,0.0607128552611935,0.9722222222222222
sp500,brlusd,1.0,0.07415557987054758,0.06584185244918234,1.0
cnyusd,us10y,1.0,0.0715507318168048,0.05756678004116838,1.0
audusd,eurusd,0.9722222222222222,0.06743051150636854,0.07214883602431499,0.5714285714285714
vix,brlusd,0.9444444444444444,0.09161726204578932,0.06812902038792529,1.0
brent,wti,0.9444444444444444,0.08529850676210225,0.07591825026773322,0.8823529411764706
sp500,vix,0.9444444444444444,0.0552077705267855,0.04898012610653546,1.0
eurusd,wti,0.8888888888888888,0.08441573872060411,0.0333255273121642,1.0
cnyusd,us2y,0.8888888888888888,0.07640551258812166,0.04483014818893572,1.0
brent,vix,0.8888888888888888,0.07313483007980545,0.06363259147143609,1.0
pw_suez_canal_n_total_z,pw_suez_canal_capacity_z,0.8888888888888888,0.07071434985510557,0.04237513274878719,1.0
brent,brlusd,0.8888888888888888,0.05810886202815503,0.06180230570349801,1.0
pw_panama_canal_n_total_z,pw_panama_canal_capacity_z,0.8611111111111112,0.06949037752910923,0.08603113969500778,1.0
pw_suez_canal_capacity_z,pw_bab_el_mandeb_strait_n_total_z,0.8333333333333334,0.08432812412477489,0.10522974638923245,1.0
brlusd,wti,0.8055555555555556,0.05886773510728227,0.03122063626787129,1.0
audusd,wti,0.7777777777777778,0.06200395177392078,0.0301594558528174,1.0
vix,audusd,0.7777777777777778,0.060589801279359166,0.06622016595965595,1.0
pw_suez_canal_n_total_z,pw_bab_el_mandeb_strait_n_total_z,0.75,0.07627521646843223,0.03608038170080122,1.0
brlusd,us2y,0.6944444444444444,0.054870928681504824,0.04810145185415895,1.0
wti,sp500,0.5555555555555556,0.05509644851278803,0.030328477675445494,1.0
pw_strait_of_hormuz_n_total_z,pw_strait_of_hormuz_capacity_z,0.5555555555555556,0.047558033451574305,0.06331987466865999,1.0
brlusd,audusd,0.5,0.04700183073270417,0.02219690964951039,0.6666666666666666
pw_cape_of_good_hope_capacity_z,henry_hub,0.5,0.04484489215030445,0.0,1.0
eurusd,vix,0.4444444444444444,0.05440345910118409,0.06375719663723685,1.0
us10y,eurusd,0.4166666666666667,0.04377697736619609,0.011109213234988598,0.8
pw_cape_of_good_hope_capacity_z,brent,0.3888888888888889,0.0546795711164687,0.03850100728288411,1.0
brlusd,brent,0.3888888888888889,0.04796373892606634,0.03400607069520038,1.0
us10y,us2y,0.3888888888888889,0.04777370408305069,0.026008037677350944,1.0
us2y,wti,0.3888888888888889,0.044619729747736314,0.0,1.0
pw_cape_of_good_hope_n_total_z,henry_hub,0.3611111111111111,0.05763913605304084,0.016677718939251657,0.6153846153846154
eurusd,audusd,0.3333333333333333,0.044519693954883366,0.03723024161704001,0.9166666666666666
sp500,wti,0.3333333333333333,0.041926988002622914,0.02357199979884939,1.0
eurusd,us2y,0.3333333333333333,0.035143499655757034,0.0,1.0
us10y,krwusd,0.3333333333333333,0.027924034122233352,0.0,1.0
pw_malacca_strait_capacity_z,us2y,0.3055555555555556,0.045516985426370754,0.03199699683851936,1.0
krwusd,cnyusd,0.2777777777777778,0.039180225400364206,0.02202931755061801,0.6
krwusd,us2y,0.2777777777777778,0.03812881039410529,0.021533605267872104,1.0
pw_bab_el_mandeb_strait_n_total_z,henry_hub,0.2777777777777778,0.030620274637216133,0.010628322747829074,1.0
us10y,sp500,0.2222222222222222,0.043156588290024805,0.03193219000263532,1.0
henry_hub,krwusd,0.2222222222222222,0.03263145043821644,0.009031481941332988,1.0
henry_hub,cnyusd,0.19444444444444445,0.04348252797119488,0.026499499550286208,1.0
pw_suez_canal_n_total_z,henry_hub,0.19444444444444445,0.02594574036807082,0.0011297469911555867,1.0
pw_suez_canal_n_total_z,pw_bab_el_mandeb_strait_capacity_z,0.16666666666666666,0.03641953706133077,0.0122720600591177,1.0
henry_hub,brlusd,0.16666666666666666,0.015088543615233254,0.0021799972903681093,0.6666666666666666
us10y,cnyusd,0.1388888888888889,0.019383221790785363,0.002611408725858385,1.0
pw_strait_of_hormuz_capacity_z,brent,0.1111111111111111,0.04150404448623703,0.0491700490661416,1.0
pw_suez_canal_capacity_z,brlusd,0.1111111111111111,0.03715687924113075,0.02384287680657284,1.0
audusd,sp500,0.08333333333333333,0.023919784059137923,0.0,1.0
us2y,us10y,0.08333333333333333,0.0206412332938472,0.01179758560910657,1.0
pw_suez_canal_capacity_z,pw_suez_canal_n_total_z,0.05555555555555555,0.03473218102633288,0.02381453968152817,1.0
pw_cape_of_good_hope_n_total_z,brlusd,0.05555555555555555,0.024040228750030555,0.00922155832343175,1.0
krwusd,vix,0.05555555555555555,0.02353922090962574,0.00524199663743509,1.0
audusd,us2y,0.05555555555555555,0.02174568531602737,0.01127151517084924,1.0
brent,us10y,0.027777777777777776,0.042264937627534,0.031070968557440754,1.0
audusd,vix,0.027777777777777776,0.021746739469640935,0.0,1.0
brlusd,cnyusd,0.027777777777777776,0.021616303273291584,0.005805320176328704,1.0
cnyusd,wti,0.027777777777777776,0.019772426892360914,0.00161077041935455,1.0
pw_malacca_strait_n_total_z,henry_hub,0.027777777777777776,0.01847179175948999,0.0022126451958227934,1.0
pw_bab_el_mandeb_strait_n_total_z,cnyusd,0.027777777777777776,0.01629350242958761,0.000833852677385347,1.0
pw_bab_el_mandeb_strait_capacity_z,cnyusd,0.027777777777777776,0.014899540915864077,0.0,1.0
pw_suez_canal_n_total_z,pw_cape_of_good_hope_n_total_z,0.0,0.035330761173759995,0.019299348211076532,
pw_suez_canal_capacity_z,pw_cape_of_good_hope_capacity_z,0.0,0.03163400546254959,0.012750787739017201,
eurusd,brent,0.0,0.030795097205823425,0.009800811410533307,
brent,sp500,0.0,0.02781471946687835,0.03565419968293651,
vix,henry_hub,0.0,0.02557069998723923,0.026098011841687068,
us2y,audusd,0.0,0.025111328816012312,0.005384811020591078,
pw_bab_el_mandeb_strait_n_total_z,pw_cape_of_good_hope_capacity_z,0.0,0.025095593453164658,0.03816917553542464,
us10y,vix,0.0,0.024970235968149904,0.011370086461416764,
wti,audusd,0.0,0.02463378557538451,0.032290179699141386,
wti,vix,0.0,0.02366612512784578,0.00517020348091758,
brlusd,us10y,0.0,0.023508951138398303,0.01787966558005169,
pw_bab_el_mandeb_strait_n_total_z,pw_bab_el_mandeb_strait_capacity_z,0.0,0.02346342035619435,0.04729977712069471,
pw_bab_el_mandeb_strait_capacity_z,henry_hub,0.0,0.023132597250328416,0.0,
pw_bab_el_mandeb_strait_capacity_z,pw_suez_canal_capacity_z,0.0,0.022926323915109195,0.03761609021231722,
cnyusd,brlusd,0.0,0.022783240423314657,0.017186358817183518,
pw_bab_el_mandeb_strait_n_total_z,pw_cape_of_good_hope_n_total_z,0.0,0.022667041211234553,0.03887092009258276,
pw_malacca_strait_n_total_z,pw_strait_of_hormuz_n_total_z,0.0,0.0218734919101728,0.0030685839275450843,
pw_cape_of_good_hope_n_total_z,pw_suez_canal_n_total_z,0.0,0.019386897097146895,0.01740079703276089,
us2y,sp500,0.0,0.018682549470176706,0.019455003643515642,
eurusd,brlusd,0.0,0.017416963789360383,0.010758364993845715,
henry_hub,vix,0.0,0.017051636311057536,0.01591098671159523,
audusd,krwusd,0.0,0.016931198023446926,0.02082388665378045,
krwusd,eurusd,0.0,0.01634143757911137,0.02209632065437845,
pw_strait_of_hormuz_capacity_z,wti,0.0,0.015919722690610094,0.023701435481451278,
krwusd,sp500,0.0,0.015562894150566168,0.0,
pw_bab_el_mandeb_strait_capacity_z,pw_suez_canal_n_total_z,0.0,0.015350983291494582,0.024422454961346228,
pw_panama_canal_n_total_z,pw_bab_el_mandeb_strait_n_total_z,0.0,0.015259945849178218,0.010769821239266453,
wti,brlusd,0.0,0.014598869940492356,0.002253523095081328,
pw_malacca_strait_n_total_z,eurusd,0.0,0.01441879614942722,0.0,
pw_cape_of_good_hope_n_total_z,us10y,0.0,0.014121102810943824,0.0,
eurusd,us10y,0.0,0.014072234610506123,0.0,
pw_strait_of_hormuz_n_total_z,brlusd,0.0,0.01395018312550502,0.0,
pw_cape_of_good_hope_capacity_z,pw_suez_canal_capacity_z,0.0,0.013716457357627103,0.019154989488035925,
pw_cape_of_good_hope_capacity_z,sp500,0.0,0.013212997482885194,0.003060624504707265,
wti,us10y,0.0,0.013212278952210166,0.0,
brent,krwusd,0.0,0.012766541443992311,0.04418098089970754,
henry_hub,us2y,0.0,0.01269191121826928,0.0,
brent,cnyusd,0.0,0.012513956939007772,0.003427853334995132,
eurusd,henry_hub,0.0,0.01250323431711725,0.005685943874905277,
pw_suez_canal_n_total_z,pw_cape_of_good_hope_capacity_z,0.0,0.012464647836717965,0.03671818668997317,
vix,us2y,0.0,0.01241669751356861,0.006598645664698269,
pw_panama_canal_capacity_z,vix,0.0,0.012318698981584256,0.0,
krwusd,audusd,0.0,0.01225723362898098,0.0,
brlusd,krwusd,0.0,0.012147314573238125,0.0,
pw_cape_of_good_hope_capacity_z,pw_suez_canal_n_total_z,0.0,0.011876416202915843,0.01836493415260903,
pw_malacca_strait_n_total_z,cnyusd,0.0,0.01184174150515511,0.0,
pw_cape_of_good_hope_n_total_z,pw_suez_canal_capacity_z,0.0,0.011754734067638757,0.012252905182550775,
us2y,brlusd,0.0,0.011594652360542345,0.012664077618542671,
vix,sp500,0.0,0.011530293006175557,0.003944654684276413,
cnyusd,vix,0.0,0.011518960095129137,0.005748173886333502,
pw_strait_of_hormuz_capacity_z,audusd,0.0,0.011436196655688168,0.005375858549767608,
brlusd,vix,0.0,0.011404399072386587,0.020377770043055993,
pw_bab_el_mandeb_strait_n_total_z,us10y,0.0,0.011008367785978006,0.0073482621697407045,
brlusd,sp500,0.0,0.01074486662507124,0.01874403408182396,
sp500,brent,0.0,0.010738139214855289,0.0,
vix,us10y,0.0,0.0107033075953648,0.011165372394717075,
cnyusd,audusd,0.0,0.010656913994401843,0.003937435107496163,
pw_cape_of_good_hope_capacity_z,wti,0.0,0.010505188245721072,0.0030753773046398192,
brent,audusd,0.0,0.010495923161846978,0.0,
pw_malacca_strait_capacity_z,pw_strait_of_hormuz_n_total_z,0.0,0.010284850604215572,0.002797986453214973,
pw_cape_of_good_hope_capacity_z,vix,0.0,0.010086127593992049,0.0,
pw_malacca_strait_n_total_z,pw_strait_of_hormuz_capacity_z,0.0,0.010033686315256644,0.0,
brlusd,eurusd,0.0,0.009599987450012414,0.0,
pw_malacca_strait_n_total_z,pw_cape_of_good_hope_capacity_z,0.0,0.009458911314248275,0.0,
sp500,us10y,0.0,0.009449304081965017,0.0066486119556413885,
wti,cnyusd,0.0,0.009385602721657501,0.0,
pw_malacca_strait_n_total_z,us10y,0.0,0.009336724308843075,0.003347444192499316,
audusd,henry_hub,0.0,0.009211682123224558,0.0,
pw_cape_of_good_hope_n_total_z,pw_panama_canal_n_total_z,0.0,0.00919413193179859,0.0,
us2y,henry_hub,0.0,0.00896028518493753,0.0,
pw_bab_el_mandeb_strait_n_total_z,pw_suez_canal_n_total_z,0.0,0.008931645298736347,0.023074182956596367,
pw_panama_canal_capacity_z,pw_suez_canal_n_total_z,0.0,0.008711961929316439,0.0,
pw_panama_canal_capacity_z,sp500,0.0,0.008412841322455043,0.0,
us10y,audusd,0.0,0.008233115062659268,0.0,
pw_panama_canal_n_total_z,pw_cape_of_good_hope_capacity_z,0.0,0.008094189639778886,0.0,
pw_cape_of_good_hope_capacity_z,cnyusd,0.0,0.007677527578922674,0.0,
pw_strait_of_hormuz_capacity_z,pw_strait_of_hormuz_n_total_z,0.0,0.00762228040821358,0.01665059487058813,
cnyusd,sp500,0.0,0.0075936247265171,0.001617528859339325,
pw_cape_of_good_hope_n_total_z,pw_malacca_strait_n_total_z,0.0,0.007497870415185372,0.004280904279963929,
pw_panama_canal_capacity_z,henry_hub,0.0,0.0073750579512475945,0.0,
pw_bab_el_mandeb_strait_n_total_z,brlusd,0.0,0.007325976954545704,0.0,
pw_cape_of_good_hope_n_total_z,pw_cape_of_good_hope_capacity_z,0.0,0.007193061001567645,0.0,
pw_bab_el_mandeb_strait_capacity_z,eurusd,0.0,0.007147414502646627,0.0022670975660280413,
pw_strait_of_hormuz_capacity_z,vix,0.0,0.007126281123737939,0.0,
pw_strait_of_hormuz_n_total_z,us10y,0.0,0.006926382396289745,0.0,
us10y,brlusd,0.0,0.00691842252299683,0.000626416634833372,
pw_bab_el_mandeb_strait_n_total_z,sp500,0.0,0.006909903692531712,0.0003560441170122341,
cnyusd,eurusd,0.0,0.006772029065883188,0.0,
pw_strait_of_hormuz_capacity_z,pw_cape_of_good_hope_n_total_z,0.0,0.006759429459926671,0.0,
us10y,brent,0.0,0.006343050436981756,0.0,
krwusd,us10y,0.0,0.00629166744582903,0.001991923447556377,
brent,eurusd,0.0,0.00626385200979628,0.005575819191848457,
us2y,pw_cape_of_good_hope_capacity_z,0.0,0.006245745544411523,0.0,
pw_panama_canal_capacity_z,krwusd,0.0,0.006239464083314641,0.009782167983025298,
cnyusd,henry_hub,0.0,0.006110434231267648,0.0,
brlusd,henry_hub,0.0,0.005740758394005557,0.0010765748113475552,
us2y,pw_cape_of_good_hope_n_total_z,0.0,0.005665028949007265,0.0,
pw_panama_canal_n_total_z,pw_suez_canal_capacity_z,0.0,0.005567340705048016,0.0,
henry_hub,pw_bab_el_mandeb_strait_capacity_z,0.0,0.00542714215329638,0.0,
pw_suez_canal_n_total_z,brent,0.0,0.005357454101844363,0.0,
pw_cape_of_good_hope_n_total_z,eurusd,0.0,0.005305968020725293,0.0,
cnyusd,krwusd,0.0,0.005179889974309929,0.00347131700105072,
pw_malacca_strait_capacity_z,brlusd,0.0,0.005079002072192899,0.0,
