target,origin_date,realised_before,expert,squared_loss,bounded_loss,eta
audusd,2023-07-26,2023-07-27,financial_direct_sparse,3.29874549073204e-05,0.2,1.0
audusd,2023-07-26,2023-07-27,candidate_overlay_survival,3.29874549073204e-05,0.2,1.0
audusd,2023-07-27,2023-07-28,financial_direct_sparse,7.289134817611181e-06,0.044193374954753575,1.0
audusd,2023-07-27,2023-07-28,candidate_overlay_survival,7.289134817611181e-06,0.044193374954753575,1.0
audusd,2023-07-28,2023-07-31,financial_direct_sparse,0.00010176091837996583,1.0,1.0
audusd,2023-07-28,2023-07-31,candidate_overlay_survival,0.00010176091837996583,1.0,1.0
audusd,2023-07-31,2023-08-01,financial_direct_sparse,4.839269417201266e-05,0.2934005930919733,1.0
audusd,2023-07-31,2023-08-01,candidate_overlay_survival,4.839269417201266e-05,0.2934005930919733,1.0
audusd,2023-08-01,2023-08-02,financial_direct_sparse,0.0003031060476919491,1.0,1.0
audusd,2023-08-01,2023-08-02,candidate_overlay_survival,0.0003031060476919491,1.0,1.0
audusd,2023-08-02,2023-08-03,financial_direct_sparse,0.0001321563594668469,0.5461831035779693,0.9613512577339219
audusd,2023-08-02,2023-08-03,candidate_overlay_survival,0.0001321563594668469,0.5461831035779693,0.9613512577339219
audusd,2023-08-03,2023-08-04,financial_direct_sparse,6.1628653142526946e-06,0.016417494616373093,0.8900383173516875
audusd,2023-08-03,2023-08-04,candidate_overlay_survival,6.1628653142526946e-06,0.016417494616373093,0.8900383173516875
audusd,2023-08-04,2023-08-07,financial_direct_sparse,5.5681912729532577e-05,0.23012528515816982,0.8325546111576977
audusd,2023-08-04,2023-08-07,candidate_overlay_survival,5.5681912729532577e-05,0.23012528515816982,0.8325546111576977
audusd,2023-08-07,2023-08-08,financial_direct_sparse,1.878215580378319e-05,0.07218727550535411,0.7849400150103164
audusd,2023-08-07,2023-08-08,candidate_overlay_survival,1.878215580378319e-05,0.07218727550535411,0.7849400150103164
audusd,2023-08-08,2023-08-09,financial_direct_sparse,9.214285077710636e-05,0.3808130642595885,0.7446594822118068
audusd,2023-08-08,2023-08-09,candidate_overlay_survival,9.214285077710636e-05,0.3808130642595885,0.7446594822118068
audusd,2023-08-09,2023-08-10,financial_direct_sparse,9.776675294749051e-07,0.0037575641497249387,0.7100049580159514
audusd,2023-08-09,2023-08-10,candidate_overlay_survival,9.776675294749051e-07,0.0037575641497249387,0.7100049580159514
audusd,2023-08-10,2023-08-11,financial_direct_sparse,2.994247983056239e-05,0.12374793486029663,0.6797779934458726
audusd,2023-08-10,2023-08-11,candidate_overlay_survival,2.994247983056239e-05,0.12374793486029663,0.6797779934458726
audusd,2023-08-11,2023-08-14,financial_direct_sparse,7.061872972769611e-05,0.34710543308960407,0.6531095705268852
audusd,2023-08-11,2023-08-14,candidate_overlay_survival,7.061872972769611e-05,0.34710543308960407,0.6531095705268852
audusd,2023-08-14,2023-08-15,financial_direct_sparse,6.14287283478232e-07,0.0025387604223676297,0.6293521297152426
audusd,2023-08-14,2023-08-15,candidate_overlay_survival,6.14287283478232e-07,0.0025387604223676297,0.6293521297152426
audusd,2023-08-15,2023-08-16,financial_direct_sparse,1.426529674212465e-05,0.07011683759988294,0.6080119211813511
audusd,2023-08-15,2023-08-16,candidate_overlay_survival,1.426529674212465e-05,0.07011683759988294,0.6080119211813511
audusd,2023-08-16,2023-08-17,financial_direct_sparse,3.712692473537265e-05,0.2250972367506512,0.5887050112577373
audusd,2023-08-16,2023-08-17,candidate_overlay_survival,3.712692473537265e-05,0.2250972367506512,0.5887050112577373
audusd,2023-08-17,2023-08-18,financial_direct_sparse,6.400538820259021e-06,0.03651484247811384,0.5711277514696671
audusd,2023-08-17,2023-08-18,candidate_overlay_survival,6.400538820259021e-06,0.03651484247811384,0.5711277514696671
audusd,2023-08-18,2023-08-21,financial_direct_sparse,9.302163238822851e-10,5.639818691655758e-06,0.5550364074384652
audusd,2023-08-18,2023-08-21,candidate_overlay_survival,9.302163238822851e-10,5.639818691655758e-06,0.5550364074384652
audusd,2023-08-21,2023-08-22,financial_direct_sparse,1.131117009419367e-05,0.07189691291629152,0.5402327687638845
audusd,2023-08-21,2023-08-22,candidate_overlay_survival,1.131117009419367e-05,0.07189691291629152,0.5402327687638845
audusd,2023-08-22,2023-08-23,financial_direct_sparse,1.8483945511621996e-05,0.12346302387924042,0.5265537695468319
audusd,2023-08-22,2023-08-23,candidate_overlay_survival,1.8483945511621996e-05,0.12346302387924042,0.5265537695468319
audusd,2023-08-23,2023-08-24,financial_direct_sparse,4.17573123393326e-05,0.3428024595418276,0.5138638621120784
audusd,2023-08-23,2023-08-24,candidate_overlay_survival,4.17573123393326e-05,0.3428024595418276,0.5138638621120784
audusd,2023-08-24,2023-08-25,financial_direct_sparse,5.639051783266192e-05,0.3766589684739734,0.5020493204891492
audusd,2023-08-24,2023-08-25,candidate_overlay_survival,5.639051783266192e-05,0.3766589684739734,0.5020493204891492
audusd,2023-08-25,2023-08-30,financial_direct_sparse,3.7561389522516397e-06,0.023875053854079432,0.4910139218994828
audusd,2023-08-25,2023-08-30,candidate_overlay_survival,3.7561389522516397e-06,0.023875053854079432,0.4910139218994828
audusd,2023-08-30,2023-08-31,financial_direct_sparse,1.9388363920149666e-05,0.12950406265522402,0.48067562886696097
audusd,2023-08-30,2023-08-31,candidate_overlay_survival,1.9388363920149666e-05,0.12950406265522402,0.48067562886696097
audusd,2023-08-31,2023-09-01,financial_direct_sparse,1.8787834191374223e-05,0.15234147857933636,0.4709640090061899
