segment,horizon,model,variable,n,rmse,mae,directional_accuracy,corr,ar_rmse,rmse_skill_vs_ar
oos_all,1,ar,audusd,709,0.005845024471019468,0.004352404331195473,0.46685472496473907,0.02746630626021665,0.005845024471019468,0.0
oos_all,1,ar,brlusd,709,0.007030130734639228,0.005346301419224042,0.4823695345557123,0.009165349145835396,0.007030130734639228,0.0
oos_all,1,ar,cnyusd,709,0.0017404711193366753,0.0011376481692518135,0.5007052186177715,0.02193475128066009,0.0017404711193366753,0.0
oos_all,1,ar,krwusd,709,0.005914107278153399,0.004317129010985342,0.5133991537376587,0.08114453348355215,0.005914107278153399,0.0
oos_all,1,ar,eurusd,709,0.004240076093967115,0.003140702031643286,0.5035260930888575,0.0009312791147028098,0.004240076093967115,0.0
oos_all,1,ar,sp500,709,0.009453792059832839,0.006524093743038049,0.5133991537376587,0.061040498952674056,0.009453792059832839,0.0
oos_all,1,ar,vix,709,1.8765260566949247,1.0474224868605975,0.5204513399153737,0.10566993937772212,1.8765260566949247,0.0
oos_all,1,ar,us2y,709,0.05741641901369046,0.04291818517900797,0.45557122708039494,0.013703230739205227,0.05741641901369046,0.0
oos_all,1,ar,us10y,709,0.055288517185001204,0.04347779612599968,0.46685472496473907,-0.0515484866332343,0.055288517185001204,0.0
oos_all,1,ar,wti,709,2.150582376292106,1.3888777499498415,0.5204513399153737,-0.058242943585525814,2.150582376292106,0.0
oos_all,1,ar,brent,709,0.026955646945462947,0.01866425058069789,0.5148095909732017,0.015948496476600064,0.026955646945462947,0.0
oos_all,1,ar,henry_hub,709,0.11333288487814938,0.05552330643285948,0.47390691114245415,0.029130567312563898,0.11333288487814938,0.0
oos_all,1,financial_direct_sparse,audusd,709,0.00557084250087071,0.004246198598986328,0.5430183356840621,0.30093089813050267,0.005845024471019468,0.04690860945205533
oos_all,1,financial_direct_sparse,brlusd,709,0.0070135122541708575,0.005336509152398984,0.4936530324400564,0.06904275475600997,0.007030130734639228,0.002363893517155602
oos_all,1,financial_direct_sparse,cnyusd,709,0.0017290996606105743,0.0011689954157307685,0.49647390691114246,0.12187978033584189,0.0017404711193366753,0.00653355209389217
oos_all,1,financial_direct_sparse,krwusd,709,0.005776316896619937,0.004226926906152466,0.5613540197461213,0.2306878090818534,0.005914107278153399,0.02329859352441177
oos_all,1,financial_direct_sparse,eurusd,709,0.004209942845380881,0.00309756363004867,0.5218617771509168,0.11128933593851396,0.004240076093967115,0.007106770708456889
oos_all,1,financial_direct_sparse,sp500,709,0.00949559699662548,0.0065488371355971265,0.5430183356840621,0.028078985550739604,0.009453792059832839,-0.004422028380575593
oos_all,1,financial_direct_sparse,vix,709,1.8688732534139652,1.0434053776523855,0.5317348377997179,0.12687017098797065,1.8765260566949247,0.004078175868465261
oos_all,1,financial_direct_sparse,us2y,709,0.057721983794979476,0.04320860314755095,0.459802538787024,-0.01660474120909057,0.05741641901369046,-0.005321905938023619
oos_all,1,financial_direct_sparse,us10y,709,0.05514579168237484,0.043062193080345035,0.48801128349788436,-0.010205866283347681,0.055288517185001204,0.0025814673623600903
oos_all,1,financial_direct_sparse,wti,709,2.145275148638007,1.3838294438189864,0.5077574047954866,-0.0027392588422260433,2.150582376292106,0.002467809516438657
oos_all,1,financial_direct_sparse,brent,709,0.02648267053307506,0.018220421890979662,0.5472496473906912,0.09982554580800115,0.026955646945462947,0.01754646858763287
oos_all,1,financial_direct_sparse,henry_hub,709,0.11261715570084892,0.05504642226752244,0.4936530324400564,0.03173420175409363,0.11333288487814938,0.006315282436073044
oos_all,1,candidate_overlay_survival,audusd,709,0.00557084250087071,0.004246198598986328,0.5430183356840621,0.30093089813050267,0.005845024471019468,0.04690860945205533
oos_all,1,candidate_overlay_survival,brlusd,709,0.007044337254919633,0.0053625099451621,0.4908321579689704,0.04511611707722162,0.007030130734639228,-0.0020208045649003914
