horizon,share,mean_rmse_skill_vs_financial_core,targets_better,n_targets
1,0.0,-0.00028265825197023214,2,12
1,0.001984126984126984,-0.0002844175334197803,2,12
1,0.003968253968253968,-0.0002856114483169488,2,12
1,0.007936507936507936,-0.0002869853421777017,2,12
5,0.0,-0.0005229771865915093,6,12
5,0.001984126984126984,-0.001084634160270807,5,12
5,0.003968253968253968,-0.0014599389742802893,4,12
5,0.007936507936507936,-0.0018648804480506282,4,12
10,0.0,0.0004937449265330259,5,12
10,0.001984126984126984,-0.00030167434334863835,5,12
10,0.003968253968253968,-0.0008700570084544853,5,12
10,0.007936507936507936,-0.0015525901568050708,4,12
20,0.0,0.0021234472166736054,5,12
20,0.001984126984126984,0.0016120652247359573,5,12
20,0.003968253968253968,0.0011387993924105628,6,12
20,0.007936507936507936,0.0006084612364426941,6,12
